"WorkbookRow","Year","TeamContext","PlayerName","Cost","SourceDate","SourceUrl","SameYearNameCandidates","SameArticleSameCostCandidates","SameArticleOtherCostCandidates","ReviewStatus"
"111","1995","OB","심정수","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"112","1996","쌍방울","성영재","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"113","1996","쌍방울","조규제","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"114","1996","쌍방울","김광림","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"115","1995","두산","김상진","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"116","1992","두산","장호연","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"117","2006","두산","리오스","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"118","2011","두산","니퍼트","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"119","2011","두산","김선우","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"120","2013","두산","오현택","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"121","2008","두산","이재우","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"122","2012","두산","홍상삼","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"123","1999","두산","이혜천","5","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"124","1999","두산","진필중","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"125","2012","두산","프록터","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"126","1986","LG","김건우","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"127","1984","LG","오영일","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"128","1995","LG","이상훈","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"129","1990","LG","김태원","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"130","2013","LG","리즈","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"131","1982","LG","하기룡","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"132","2001","LG","신윤호","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"133","2002","LG","이동현","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"134","2008","LG","이범준","4","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"135","1993","LG","김용수","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"136","2013","LG","봉중근","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"137","1985","삼성","김일융","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
